technician_id,hospital_id,assigned_hospital_id,name,qualification,phone_number,email_address
1,264,98,Jesse Davidson,Quality Control Analyst,418-368-2843,jesse.davidson@healthcare.com
2,234,,Christina Howe,Hematology Technician,438-948-9567,christina.howe@medcenter.ca
3,93,114,Justin Hancock,Pathology Assistant,418-375-0048,justin.hancock@medcenter.ca
4,177,,Dan Moss,Laboratory Supervisor,438-425-3407,dan.moss@medcenter.ca
5,84,,Jose Pham,Laboratory Supervisor,418-709-9226,jose.pham@medcenter.ca
6,170,215,Kaitlyn Anderson,Blood Bank Specialist,438-341-6741,kaitlyn.anderson@labservices.ca
7,173,,Carlos Kelly,Biomedical Scientist,438-483-0578,carlos.kelly@healthcare.com
8,269,,Jesus Ferguson,Quality Control Analyst,438-676-6982,jesus.ferguson@medcenter.ca
9,135,213,Janet Hampton,Clinical Laboratory Technologist,514-471-1539,janet.hampton@healthcare.com
10,287,,James Taylor,Clinical Biochemist,450-509-8885,james.taylor@labservices.ca
11,128,59,Susan Nelson,Laboratory Supervisor,450-620-2683,susan.nelson@labservices.ca
12,217,154,Kayla Morales,Biomedical Scientist,450-342-6273,kayla.morales@hospital.ca
13,95,137,Jeffrey Fields,Hematology Technician,418-034-9598,jeffrey.fields@labservices.ca
14,40,149,Bonnie Werner,Blood Transfusion Officer,418-921-4878,bonnie.werner@healthcare.com
15,182,,William Perez,Clinical Biochemist,438-490-2956,william.perez@hospital.ca
16,,87,Rhonda Martinez,Immunology Technician,450-693-6404,rhonda.martinez@medcenter.ca
17,,,Robert Dickerson,Clinical Biochemist,438-273-3987,robert.dickerson@hospital.ca
18,83,,Dorothy Pena,Diagnostic Technician,514-825-1341,dorothy.pena@labservices.ca
19,167,219,Kimberly Meyer,Immunology Technician,450-433-2549,kimberly.meyer@labservices.ca
20,237,,Crystal Roberts,Serology Technician,514-430-3906,crystal.roberts@labservices.ca
21,174,,Anita Patrick,Tissue Typing Specialist,450-895-5740,anita.patrick@hospital.ca
22,122,,Nicole Young,Medical Lab Technician,438-765-2147,nicole.young@hospital.ca
23,268,18,Calvin Evans,Blood Transfusion Officer,438-453-4512,calvin.evans@labservices.ca
24,184,,Noah Yang,Blood Bank Specialist,514-902-3222,noah.yang@medcenter.ca
25,1,243,John Ramirez,Clinical Biochemist,450-763-1736,john.ramirez@hospital.ca
26,75,,Kenneth Herrera,Clinical Research Technician,418-689-7384,kenneth.herrera@medcenter.ca
27,,244,Cory Schmidt,Clinical Trials Coordinator,514-494-9401,cory.schmidt@healthcare.com
28,232,,Laura Miller,Quality Control Analyst,450-101-2396,laura.miller@hospital.ca
29,185,71,Jessica Hamilton,Serology Technician,438-452-9669,jessica.hamilton@medcenter.ca
30,181,,Mrs. Jessica Harrell,Medical Lab Technician,418-040-8668,mrs.jessica.harrell@medcenter.ca
31,150,160,Jeffrey Kaiser,Clinical Trials Coordinator,450-324-8409,jeffrey.kaiser@hospital.ca
32,45,98,Michelle Perry,Clinical Research Technician,418-382-5269,michelle.perry@hospital.ca
33,210,,Brian Garcia,Clinical Biochemist,514-173-3382,brian.garcia@healthcare.com
34,136,270,Stephanie Gordon,Immunology Technician,450-359-6081,stephanie.gordon@labservices.ca
35,240,,Heather Terrell,Quality Control Analyst,514-252-2259,heather.terrell@labservices.ca
36,52,205,Christine Phillips,Blood Transfusion Officer,450-255-4931,christine.phillips@labservices.ca
37,,260,Mrs. Kim Ross,Hematology Technician,418-960-8254,mrs.kim.ross@healthcare.com
38,74,,Melissa Avery,Toxicology Technician,514-211-4104,melissa.avery@medcenter.ca
39,,,Robert Becker,Laboratory Supervisor,450-417-2620,robert.becker@labservices.ca
40,183,79,Michelle Walker,Quality Control Analyst,450-824-3472,michelle.walker@hospital.ca
41,291,,Amy Delgado,Hematology Technician,514-034-6691,amy.delgado@hospital.ca
42,63,,Chad Jenkins,Laboratory Supervisor,450-823-1920,chad.jenkins@medcenter.ca
43,299,,Victoria Valdez,Clinical Biochemist,514-236-2540,victoria.valdez@hospital.ca
44,33,149,Marc Harrison,Clinical Laboratory Technologist,450-092-2342,marc.harrison@labservices.ca
45,182,100,Dr. Alexandria Reed,Certified Phlebotomist,438-947-5240,dr.alexandria.reed@labservices.ca
46,253,,Heather Spencer,Pathology Assistant,418-851-7860,heather.spencer@healthcare.com
47,219,,Mark Moon,Clinical Laboratory Technologist,418-217-4384,mark.moon@medcenter.ca
48,26,43,Christopher Stein,Blood Bank Specialist,438-829-3731,christopher.stein@labservices.ca
49,239,,Micheal Saunders,Medical Lab Technician,438-798-5663,micheal.saunders@labservices.ca
50,256,,Mike Wyatt,Hematology Technician,514-979-9042,mike.wyatt@labservices.ca
51,296,,Gary Lawson,Medical Lab Technician,450-236-3881,gary.lawson@healthcare.com
52,10,217,Andrea Wells,Blood Transfusion Officer,438-229-8688,andrea.wells@medcenter.ca
53,175,160,Gerald Moore,Clinical Laboratory Technologist,450-125-3502,gerald.moore@hospital.ca
54,214,,Melissa Fisher,Certified Phlebotomist,418-790-4164,melissa.fisher@labservices.ca
55,260,18,Jose Montes,Clinical Laboratory Technologist,438-521-0591,jose.montes@hospital.ca
56,182,,Brooke Johnson,Clinical Trials Coordinator,450-207-1251,brooke.johnson@medcenter.ca
57,39,218,Philip Bryant,Pathology Assistant,514-228-4756,philip.bryant@healthcare.com
